Date,spread
2023-01-02,593.8458916308487
2023-01-03,590.8443200237601
2023-01-04,593.9134823865779
2023-01-05,576.1609988927441
2023-01-06,568.216857857768
2023-01-09,570.8539728856688
2023-01-10,564.3172634124893
2023-01-11,565.1109498315531
2023-01-12,558.0227354256203
2023-01-13,570.3845594318414
2023-01-16,565.0879781553115
2023-01-17,560.7353983607659
2023-01-18,559.8935046076685
2023-01-19,555.3734534233835
2023-01-20,556.4661420057291
2023-01-23,555.6034893676992
2023-01-24,550.631357586844
2023-01-25,543.8836102112919
2023-01-27,512.3389293022408
2023-01-30,518.8316155203622
2023-01-31,529.0117759946381
2023-02-01,540.4594718073417
2023-02-02,554.606432102873
2023-02-03,550.4125956779014
2023-02-06,541.7514381298178
2023-02-07,540.375659197387
2023-02-08,546.6560218013357
2023-02-09,548.9496962021019
2023-02-10,540.9344942511116
2023-02-13,537.5624315385825
2023-02-14,549.2017480268696
2023-02-15,555.2231452709461
2023-02-16,554.9862399241354
2023-02-17,549.8045434788257
2023-02-20,542.2330269546821
2023-02-21,543.1895837631903
2023-02-22,534.3106657207808
2023-02-23,536.7762459732068
2023-02-24,539.3048957404403
2023-02-27,555.015072677772
2023-02-28,552.2830832708905
2023-03-01,553.988379098327
2023-03-02,554.178223514592
2023-03-03,562.8169425803446
2023-03-06,559.9752235241917
2023-03-08,563.6670354712014
2023-03-09,547.7585976246851
2023-03-10,542.2599778366364
2023-03-13,531.8702144721633
2023-03-14,534.5448688415252
2023-03-15,534.2158296766879
2023-03-16,530.4464658804387
2023-03-17,538.8505652395799
2023-03-20,541.0120918283234
2023-03-21,553.5061960443959
2023-03-22,561.8344216654784
2023-03-23,559.443749472403
2023-03-24,556.8951274786726
2023-03-27,552.0308608225512
2023-03-28,555.6818949265428
2023-03-29,550.6242482380658
2023-03-31,572.5169080437539
2023-04-03,578.7777691317457
2023-04-05,571.7770209369742
2023-04-06,560.0653747234195
2023-04-10,555.0483793869987
2023-04-11,567.4004511490236
2023-04-12,571.6195403606416
2023-04-13,578.9613680944794
2023-04-17,585.8739034670673
2023-04-18,582.7687990018346
2023-04-19,576.8015270100013
2023-04-20,578.1423008024447
2023-04-21,569.051078538243
2023-04-24,585.3908811162449
2023-04-25,598.2725088725941
2023-04-26,598.3685721923097
2023-04-27,600.0535901728699
2023-04-28,598.1755194769858
2023-05-02,602.614541258662
2023-05-03,602.2885327496838
2023-05-04,594.911520746441
2023-05-05,618.4881962236018
2023-05-08,625.8671863158487
2023-05-09,622.4163813271277
2023-05-10,622.6688770769705
2023-05-11,625.5682282851765
2023-05-12,627.5581902694031
2023-05-15,627.9353017714662
2023-05-16,630.2574526859185
2023-05-17,624.9875215030727
2023-05-18,630.824310311188
2023-05-19,638.1482072491889
2023-05-22,635.3304672524786
2023-05-23,639.031839413713
2023-05-24,630.3957450737245
2023-05-25,630.7394820662528
2023-05-26,640.2786186088807
2023-05-29,634.1791378436478
2023-05-30,635.7212457142575
2023-05-31,639.6569561478
2023-06-01,628.0729233955162
2023-06-02,629.6330074406033
2023-06-05,638.4728792814647
2023-06-06,634.8118330529321
2023-06-07,631.4300886860259
2023-06-08,628.9860542931618
2023-06-09,628.7870630475688
2023-06-12,628.5089044483602
2023-06-13,635.4902034614986
2023-06-14,632.1216622779655
2023-06-15,622.733044898667
2023-06-16,626.4324268530315
2023-06-19,615.3109329585773
2023-06-20,617.060166058638
2023-06-21,611.1007706838657
2023-06-22,610.6746632321663
2023-06-23,608.4803635395663
2023-06-26,613.8142401524286
2023-06-27,618.1175951661241
2023-06-28,616.2452382164884
2023-06-30,608.8387128366488
2023-07-03,613.3016002966357
2023-07-04,613.8842972238921
2023-07-05,636.9730960043901
2023-07-06,638.0398860931664
2023-07-07,627.9181136584383
2023-07-10,630.6050795419549
2023-07-11,628.6802033372173
2023-07-12,630.9564018248977
2023-07-13,640.5824518854781
2023-07-14,644.2401637591634
2023-07-17,646.4741273313765
2023-07-18,653.3671438265733
2023-07-19,650.0146904920118
2023-07-20,671.1307964424907
2023-07-21,674.8778751039774
2023-07-24,669.4778331786092
2023-07-25,668.8144959737854
2023-07-26,671.6111425776309
2023-07-27,668.7141285733214
2023-07-28,679.9713913715973
2023-07-31,680.6325126319798
2023-08-01,674.9300512142593
2023-08-02,671.4221925127667
2023-08-03,651.997792242888
2023-08-04,653.1124666601709
2023-08-07,658.3500124016982
2023-08-08,662.7755311080194
2023-08-09,663.4593118253006
2023-08-10,657.6038424950343
2023-08-11,649.5585913934925
2023-08-14,657.6418281276358
2023-08-16,655.4748365988174
2023-08-17,652.2890111859425
2023-08-18,652.4917959684906
2023-08-21,657.2308770627246
2023-08-22,655.2980827098854
2023-08-23,669.3101819980568
2023-08-24,672.7232948041301
2023-08-25,677.406483751191
2023-08-28,674.5922681846648
2023-08-29,669.5278819565351
2023-08-30,662.8685391978636
2023-08-31,664.0416932775618
2023-09-01,673.3141559818971
2023-09-04,670.1796645882853
2023-09-05,672.9802594131526
2023-09-06,658.4172874756982
2023-09-07,663.6989483353
2023-09-08,666.2688394509203
2023-09-11,672.3715102905995
2023-09-12,683.5870857039199
2023-09-13,681.6167085856708
2023-09-14,679.7169547527922
2023-09-15,680.9894821591481
2023-09-18,684.7209520905939
2023-09-20,693.6123520326171
2023-09-21,667.8871613694781
2023-09-22,663.2852098110093
2023-09-25,669.0374254796878
2023-09-26,660.2402669100911
2023-09-27,656.6572031108165
2023-09-28,656.7358166060739
2023-09-29,665.4824488789174
2023-10-03,657.3089625835539
2023-10-04,643.2263089043853
