Date,ret,vol
2023-01-09,2.6371150279007907,8.63014986627752
2023-01-10,-6.536709473179485,8.611414002755168
2023-01-11,0.7936864190637607,8.10332887159222
2023-01-12,-7.0882144059327175,4.946355336670764
2023-01-13,12.361824006221013,7.944031953947364
2023-01-16,-5.296581276529878,8.182609902509714
2023-01-17,-4.352579794545591,7.875915613344305
2023-01-18,-0.841893753097338,7.831357456895403
2023-01-19,-4.52005118428508,7.408598477818554
2023-01-20,1.0926885823456587,2.7653151490979426
2023-01-23,-0.8626526380298856,2.451103377428613
2023-01-24,-4.972131780855193,2.6163692479237786
2023-01-25,-6.747747375552194,3.215581051469562
2023-01-27,-31.544680909051067,13.199101933366137
2023-01-30,6.492686218121435,14.360960186297083
2023-01-31,10.180160474275908,16.35304161563147
2023-02-01,11.447695812703614,18.005179235882792
2023-02-02,14.146960295531244,19.033181410517393
2023-02-03,-4.1938364249715505,7.152697329240881
2023-02-06,-8.661157548083679,10.27572567568712
2023-02-07,-1.3757789324307623,9.998191566946634
2023-02-08,6.280362603948674,9.03322582715979
2023-02-09,2.2936744007662355,5.761962473555737
2023-02-10,-8.015201950990331,6.478597367897439
2023-02-13,-3.3720627125291003,5.447508108595007
2023-02-14,11.639316488287136,7.74938522489889
2023-02-15,6.021397244076525,7.7124413074897
2023-02-16,-0.23690534681077224,7.747795403526359
2023-02-17,-5.181696445309626,6.969079343015505
2023-02-20,-7.57151652414359,7.930983316199956
2023-02-21,0.9565568085081395,5.342681128006903
2023-02-22,-8.87891804240951,4.3737224138762185
2023-02-23,2.46558025242598,5.091324412690274
2023-02-24,2.52864976723356,5.6458543221454685
2023-02-27,15.710176937331653,8.751526480949584
2023-02-28,-2.731989406881439,9.069777010662655
2023-03-01,1.70529582743643,6.932029541435955
2023-03-02,0.18984441626503212,7.1247071072815675
2023-03-03,8.638719065752639,7.437770130550993
2023-03-06,-2.841719056152897,4.695478034450391
2023-03-08,3.6918119470096826,4.282449969493238
2023-03-09,-15.908437846516335,9.242357787926439
2023-03-10,-5.4986197880487,9.37065376621552
2023-03-13,-10.389763364473083,7.440182181667106
2023-03-14,2.6746543693618605,8.406887959437286
2023-03-15,-0.3290391648372406,7.500795545759249
2023-03-16,-3.769363796249195,4.992748928026939
2023-03-17,8.404099359141128,7.030672018958912
2023-03-20,2.161526588743527,4.473713365571279
2023-03-21,12.494104216072515,6.5919213385751245
2023-03-22,8.328225621082538,6.372084512342008
2023-03-23,-2.3906721930753747,5.880261214055059
2023-03-24,-2.5486219937304213,6.656270007916471
2023-03-27,-4.864266656121458,7.698233658308096
2023-03-28,3.6510341039916057,5.422511793498829
2023-03-29,-5.057646688477007,3.5230711071082452
2023-03-31,21.89265980568814,11.337696664049645
2023-04-03,6.2608610879917705,11.014625095108642
2023-04-05,-7.000748194771518,11.493749197046252
2023-04-06,-11.711646213554673,13.475875465515458
2023-04-10,-5.016995336420791,13.471411601701814
2023-04-11,12.352071762024934,9.973462371086967
2023-04-12,4.219089211617984,9.636774840236315
2023-04-13,7.3418277338378175,9.699056081449134
2023-04-17,6.912535372587854,6.4034010760642355
2023-04-18,-3.105104465232671,5.657236767095868
2023-04-19,-5.967271991833286,6.063420173919459
2023-04-20,1.340773792443315,5.920810377841596
2023-04-21,-9.091222264201633,6.281687329924434
2023-04-24,16.339802578001922,9.957917597996374
2023-04-25,12.88162775634919,11.23508800181404
2023-04-26,0.09606331971554027,10.29994197972847
2023-04-27,1.6850179805602465,10.276227391164076
2023-04-28,-1.878070695884162,8.210580570783442
2023-05-02,4.439021781676274,5.759470843445379
2023-05-03,-0.32600850897824785,2.3958907354466663
2023-05-04,-7.377012003242726,4.42175576597644
2023-05-05,23.576675477160734,11.891712850416724
2023-05-08,7.378990092246909,11.523616412567971
2023-05-09,-3.450804988720961,12.230302429125642
2023-05-10,0.25249574984275114,12.182257073577684
2023-05-11,2.899351208205985,10.52046130780531
2023-05-12,1.9899619842266247,3.9476110397418367
2023-05-15,0.37711150206314414,2.4302668618126195
2023-05-16,2.322150914452209,1.1903842000202265
2023-05-17,-5.269931182845767,3.33907683195009
2023-05-18,5.83678880811533,4.056154128690898
2023-05-19,7.323896938000871,4.964490171431964
2023-05-22,-2.8177399967103156,5.428491818202594
2023-05-23,3.701372161234417,5.516375320266285
2023-05-24,-8.636094339988517,6.672325934881553
2023-05-25,0.3437369925283065,6.1232777645323875
2023-05-26,9.539136542627944,6.826922633969775
2023-05-29,-6.099480765232897,7.354150463309705
2023-05-30,1.5421078706096978,7.125397580303528
2023-05-31,3.9357104335424538,5.679587438669154
2023-06-01,-11.584032752283747,8.349167812763193
2023-06-02,1.5600840450870237,6.500566292855267
2023-06-05,8.839871840861406,7.565508598086751
2023-06-06,-3.661046228532541,7.8021580511901245
2023-06-07,-3.3817443669062186,7.517815440678346
2023-06-08,-2.4440343928640686,5.273120360550269
2023-06-09,-0.19899124559299253,5.216621652456514
2023-06-12,-0.2781585992086093,1.663848655320356
2023-06-13,6.9812990131383685,4.06733842418306
2023-06-14,-3.368541183533125,4.064487195361508
2023-06-15,-9.388617379298466,5.927239794699531
2023-06-16,3.699381954364526,6.342035923891816
2023-06-19,-11.121493894454261,7.917820168937082
2023-06-20,1.7492331000606782,6.557301655270725
2023-06-21,-5.959395374772271,6.627929966674221
2023-06-22,-0.42610745169940856,6.063165774520352
2023-06-23,-2.194299692599998,5.069591684119977
2023-06-26,5.333876612862355,4.230039900006494
2023-06-27,4.303355013695523,4.6705563042816935
2023-06-28,-1.8723569496357868,3.5418298273803397
